;15;50;100;150;200;250;300
-180;0;0;0;0;0;7.842;15.684
-177.5;0;0;0;0;0;7.942;15.884
-175;0;0;0;0;0;8.242;16.484
-172.5;0;0;0;0;0;85.165;17.033
-170;0;0;0;6.194;12.388;15.085;17.782
-167.5;0;0;0;63.435;12.687;155.595;18.432
-165;0;0;0;65.935;13.187;16.184;19.181
-162.5;0;0;0;6.868;13.736;16.883;20.03
-160;0;0;8.492;11.389;14.286;175.325;20.779
-157.5;0;0;8.641;11.788;14.935;183.065;21.678
-155;0;6.394;8.991;123.375;15.684;191.305;22.577
-152.5;0;6.494;9.391;128.875;16.384;19.98;23.576
-150;5.606;6.693;9.79;134.865;17.183;20.879;24.575
-147.5;5.756;7.043;10.29;14.186;18.082;21.903;25.724
-145;6.006;7.393;10.889;14.935;18.981;22.977;26.973
-142.5;6.206;7.692;11.439;156.845;19.93;24.201;28.472
-140;6.507;8.092;12.088;165.335;20.979;257.245;30.47
-137.5;6.757;8.492;12.737;174.325;22.128;28.022;33.916
-135;7.107;8.991;13.487;18.482;23.477;32.218;40.959
-132.5;7.407;9.491;14.286;196.305;24.975;39.885;54.795
-130;7.808;10.09;15.285;21.129;26.973;50.999;75.025
-127.5;8.208;10.689;16.334;234.265;30.519;63.686;96.853
-125;8.609;11.389;17.483;279.225;38.362;76.124;113.886
-122.5;9.109;12.238;18.931;36.763;54.595;88.861;123.127
-120;9.71;13.187;20.979;49.85;78.721;102.997;127.273
-117.5;10.36;14.436;24.925;645.605;104.196;1.164.585;128.721
-115;11.211;16.284;34.366;787.215;123.077;126.124;129.171
-112.5;12.613;20.33;54.695;935.565;132.418;1.309.195;129.421
-110;15.716;30.769;84.715;1.103.395;135.964;132.767;129.57
-107.5;25.676;53.946;115.135;126.049;136.963;133.167;129.371
-105;49.249;88.212;136.264;1.366.635;137.063;133.167;129.271
-102.5;87.487;122.577;145.754;1.412.585;136.763;133.017;129.271
-100;126.627;145.654;148.851;1.426.075;136.364;1.326.675;128.971
-97.5;151.652;154.895;149.101;1.425.325;135.964;1.323.175;128.671
-95;161.562;157.243;148.452;142.008;135.564;131.968;128.372
-92.5;163.013;156.993;147.552;1.411.835;134.815;1.313.685;127.922
-90;162.062;155.944;146.454;140.26;134.066;1.307.695;127.473
-87.5;160.36;154.545;145.604;1.395.355;133.467;130.17;126.873
-85;158.458;152.947;144.655;138.761;132.867;1.295.705;126.274
-82.5;156.557;151.099;143.606;137.862;132.118;128.921;125.724
-80;154.555;149.151;142.458;1.368.635;131.269;128.222;125.175
-77.5;152.302;147.403;141.059;1.357.395;130.42;127.423;124.426
-75;149.95;145.754;139.361;134.416;129.471;1.265.735;123.676
-72.5;147.698;144.106;137.662;1.331.415;128.621;125.799;122.977
-70;145.646;142.358;136.164;131.918;127.672;124.975;122.278
-67.5;143.744;140.46;134.815;130.669;126.523;1.240.755;121.628
-65;141.742;138.362;133.566;1.295.205;125.475;123.227;120.979
-62.5;139.64;136.264;132.168;1.283.715;124.575;1.223.275;120.08
-60;137.638;134.466;130.569;1.270.725;123.576;1.213.785;119.181
-57.5;135.485;132.717;129.221;1.258.495;122.478;120.38;118.282
-55;133.333;130.969;127.872;1.245.755;121.279;1.194.305;117.582
-52.5;131.481;129.371;126.324;123.252;120.18;1.184.565;116.733
-50;129.83;127.872;124.675;121.978;119.281;1.176.325;115.984
-47.5;128.028;126.224;123.027;1.207.045;118.382;1.167.585;115.135
