;1
30;0.913
40;0.932
50;0.951
60;0.963
70;0.974
80;0.984
90;0.992
100;1.000
110;1.008
120;1.014
130;1.019
140;1.024
150;1.029
160;1.032
170;1.036
180;1.039
190;1.042
200;1.045
210;1.047
220;1.049
230;1.051
240;1.054
250;1.056
260;1.058
270;1.060
280;1.062
290;1.064
300;1.066
310;1.068
320;1.069
330;1.071
340;1.073
350;1.075
360;1.077
370;1.079
380;1.080
390;1.080
400;1.080
