70;55.455;58.483;59.88;615.715;63.263;64.898;66.533
72.5;48.148;55.09;58.184;60.048;61.912;636.485;65.385
75;36.637;48.802;55.888;582.245;60.561;623.485;64.136
77.5;23.624;38.723;51.697;55.428;59.159;61.023;62.887
80;13.614;26.846;44.411;50.934;57.457;594.975;61.538
82.5;8.559;16.866;34.032;445.685;55.105;576.225;60.14
85;6.607;10.878;23.553;37.402;51.251;54.996;58.741
87.5;5.906;8.283;15.968;303.065;44.645;50.869;57.093
90;5.506;7.285;11.876;23.706;35.536;453.405;55.145
92.5;5.355;6.687;10.03;18.078;26.126;38.987;51.848
95;5.105;6.387;9.082;141.005;19.119;326.365;46.154
97.5;4.955;6.038;8.583;11.974;15.365;267.635;38.162
100;4.805;5.788;8.084;10.799;13.514;21.642;29.77
102.5;4.655;5.539;7.635;10.099;12.563;17.745;22.927
105;4.505;5.289;7.285;95.985;11.912;152.465;18.581
107.5;4.354;5.14;6.936;91.485;11.361;138.725;16.384
110;4.204;4.89;6.687;8.749;10.811;12.998;15.185
112.5;4.104;4.741;6.337;83.235;10.31;12.273;14.236
115;4.004;4.591;6.088;7.999;9.91;11.798;13.686
117.5;3.954;4.391;5.838;76.485;9.459;11.323;13.187
120;3.804;4.291;5.589;7.349;9.109;10.898;12.687
122.5;3.704;4.192;5.389;7.074;8.759;104.235;12.088
125;3.704;4.092;5.19;6.799;8.408;9.998;11.588
127.5;3.704;3.892;5.04;6.549;8.058;95.735;11.089
130;0;3.892;4.79;6.299;7.808;91.985;10.589
132.5;0;0;4.691;6.074;7.457;87.985;10.14
135;0;0;4.691;5.949;7.207;84.985;9.79
137.5;0;0;0;34.035;6.807;81.985;9.59
140;0;0;0;33.035;6.607;7.949;9.291
142.5;0;0;0;33.285;6.657;7.899;9.141
145;0;0;0;0;0;44.455;8.891
147.5;0;0;0;0;0;43.455;8.691
150;0;0;0;0;0;43.455;8.691
