     ;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220
150;43.93;45.04;46.15;47.26;48.37;49.4;50.3;51.19;51.92;52.65;53.25;53.85;54.32;54.8;55.27;55.27;55.27;55.27;55.27;55.27;55.27;55.27
155;42.74;43.8;44.86;45.92;46.97;48.11;48.95;49.8;50.47;51.15;51.75;52.36;52.89;53.43;53.97;53.97;53.97;53.97;53.97;53.97;53.97;53.97
160;41.35;42.41;43.47;44.52;45.58;46.71;47.56;48.4;49.08;49.75;50.36;50.96;51.5;52.04;52.57;52.57;52.57;52.57;52.57;52.57;52.57;52.57
165;40.26;41.26;42.27;43.28;44.29;45.42;46.26;47.11;47.78;48.46;49.06;49.66;50.2;50.74;51.28;51.28;51.28;51.28;51.28;51.28;51.28;51.28
170;38.96;39.97;40.98;41.99;42.99;44.12;44.97;45.81;46.54;47.26;47.86;48.47;49.01;49.54;50.08;50.08;50.08;50.08;50.08;50.08;50.08;50.08
175;37.77;38.78;39.79;40.79;41.8;42.83;43.72;44.62;45.34;46.07;46.67;47.27;47.81;48.35;48.88;48.88;48.88;48.88;48.88;48.88;48.88;48.88
180;36.58;37.58;38.59;39.6;40.61;41.63;42.53;43.42;44.2;44.97;45.57;46.17;46.68;47.18;47.69;47.69;47.69;47.69;47.69;47.69;47.69;47.69
185;35.68;36.64;37.6;38.55;39.51;40.54;41.38;42.23;42.95;43.67;44.32;44.98;45.48;45.99;46.49;46.49;46.49;46.49;46.49;46.49;46.49;46.49
190;34.59;35.55;36.5;37.46;38.42;39.44;40.29;41.13;41.8;42.48;43.18;43.88;44.38;44.89;45.39;45.39;45.39;45.39;45.39;45.39;45.39;45.39
195;33.5;34.45;35.41;36.36;37.32;38.25;39.14;40.04;40.71;41.38;42.03;42.68;43.22;43.76;44.29;44.29;44.29;44.29;44.29;44.29;44.29;44.29
200;32.6;33.51;34.41;35.32;36.23;37.15;38;38.84;39.56;40.28;40.93;41.59;42.09;42.59;43.1;43.1;43.1;43.1;43.1;43.1;43.1;43.1
205;31.61;32.51;33.42;34.33;35.23;36.15;37;37.85;38.57;39.29;39.89;40.49;40.99;41.5;42;42;42;42;42;42;42;42
210;30.71;31.57;32.42;33.28;34.14;35.16;35.95;36.75;37.52;38.29;38.89;39.49;39.96;40.43;40.9;40.9;40.9;40.9;40.9;40.9;40.9;40.9
215;29.62;30.53;31.43;32.34;33.24;34.16;34.96;35.75;36.52;37.29;37.89;38.49;38.96;39.43;39.91;39.91;39.91;39.91;39.91;39.91;39.91;39.91
220;28.82;29.68;30.54;31.39;32.25;33.27;34.01;34.76;35.53;36.29;36.85;37.4;37.9;38.4;38.91;38.91;38.91;38.91;38.91;38.91;38.91;38.91
225;27.93;28.79;29.64;30.49;31.35;32.27;33.07;33.86;34.58;35.3;35.85;36.4;36.9;37.41;37.91;37.91;37.91;37.91;37.91;37.91;37.91;37.91
230;27.04;27.89;28.74;29.6;30.45;31.27;32.07;32.87;33.58;34.3;34.85;35.4;35.91;36.41;36.91;36.91;36.91;36.91;36.91;36.91;36.91;36.91
