;1
30;0.935
40;0.948
50;0.964
60;0.973
70;0.980
80;0.989
90;0.994
100;1.000
110;1.006
120;1.009
130;1.012
140;1.015
150;1.019
160;1.020
170;1.023
180;1.025
190;1.027
200;1.029
210;1.030
220;1.031
230;1.032
240;1.034
250;1.035
260;1.035
270;1.036
280;1.037
290;1.039
300;1.041
310;1.042
320;1.043
330;1.045
340;1.047
350;1.049
360;1.050
370;1.051
380;1.052
390;1.052
400;1.052
