;1
30;0.977
40;0.983
50;0.987
60;0.990
70;0.993
80;0.995
90;0.998
100;1.000
110;1.002
120;1.005
130;1.007
140;1.009
150;1.010
160;1.012
170;1.013
180;1.014
190;1.015
200;1.016
210;1.017
220;1.018
230;1.019
240;1.020
250;1.021
260;1.022
270;1.023
280;1.024
290;1.024
300;1.024
310;1.025
320;1.025
330;1.025
340;1.025
350;1.025
360;1.026
370;1.026
380;1.026
390;1.026
400;1.026
