;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400
0;0.19953;0.22564;0.25174;0.27785;0.30397;0.32433;0.34081;0.35725;0.37187;0.38652;0.3981;0.40976;0.41791;0.42604;0.43422;0.44026;0.44628;0.45228;0.45832;0.46435;0.46982;0.47528;0.48075;0.48618;0.49162;0.4969;0.50217;0.50747;0.51278;0.5181;0.52171;0.52537;0.52898;0.53264;0.53626;0.53985;0.54346;0.5471;0.55072;0.55433
5;0.546225;0.56131;0.576395;0.591485;0.606575;0.61882;0.628155;0.637395;0.646285;0.655245;0.66187;0.66848;0.67345;0.67842;0.68343;0.68703;0.690555;0.69406;0.697595;0.70113;0.704475;0.707845;0.711215;0.71455;0.717895;0.7209;0.72381;0.726745;0.729685;0.732635;0.73502;0.73758;0.740095;0.742655;0.74518;0.747675;0.750195;0.75273;0.755255;0.75777
10;0.89292;0.89698;0.90105;0.90512;0.90918;0.91331;0.9155;0.91754;0.9207;0.92397;0.92564;0.9272;0.92899;0.9308;0.93264;0.9338;0.93483;0.93584;0.93687;0.93791;0.93913;0.94041;0.94168;0.94292;0.94417;0.9449;0.94545;0.94602;0.94659;0.94717;0.94833;0.94979;0.95121;0.95267;0.9541;0.9555;0.95693;0.95836;0.95979;0.96121
15;0.94393;0.94628;0.948635;0.95099;0.95334;0.955515;0.95666;0.957735;0.95926;0.96082;0.961685;0.962495;0.963345;0.96419;0.96504;0.96561;0.96615;0.966685;0.967225;0.96777;0.968365;0.96896;0.969555;0.97014;0.970725;0.971085;0.971385;0.97169;0.971995;0.9723;0.97291;0.97367;0.97442;0.975185;0.97594;0.976685;0.977445;0.978195;0.978955;0.97971
20;0.99494;0.99558;0.99622;0.99686;0.9975;0.99772;0.99782;0.99793;0.99782;0.99767;0.99773;0.99779;0.9977;0.99758;0.99744;0.99742;0.99747;0.99753;0.99758;0.99763;0.9976;0.99751;0.99743;0.99736;0.99728;0.99727;0.99732;0.99736;0.9974;0.99743;0.99749;0.99755;0.99763;0.9977;0.99778;0.99787;0.99796;0.99803;0.99812;0.99821
25;0.976035;0.97815;0.98026;0.98237;0.984485;0.985755;0.98642;0.98703;0.98723;0.9873;0.987625;0.987915;0.988025;0.98807;0.98807;0.98815;0.9883;0.98847;0.98861;0.98875;0.98883;0.988845;0.988865;0.988915;0.988955;0.98901;0.989055;0.989065;0.989075;0.98907;0.98911;0.9892;0.98934;0.98943;0.989565;0.98972;0.989865;0.989985;0.99012;0.99027
30;0.95713;0.96072;0.9643;0.96788;0.97147;0.97379;0.97502;0.97613;0.97664;0.97693;0.97752;0.97804;0.97835;0.97856;0.9787;0.97888;0.97913;0.97941;0.97964;0.97987;0.98006;0.98018;0.9803;0.98047;0.98063;0.98075;0.98079;0.98077;0.98075;0.98071;0.98073;0.98085;0.98105;0.98116;0.98135;0.98157;0.98177;0.98194;0.98212;0.98233
35;0.936155;0.940745;0.945325;0.94991;0.954495;0.957835;0.9597;0.96132;0.962695;0.963965;0.96513;0.96588;0.9665;0.96705;0.9675;0.967945;0.96839;0.96888;0.969305;0.96973;0.97012;0.970335;0.97056;0.97085;0.971135;0.971385;0.97151;0.97157;0.971615;0.971645;0.97173;0.971885;0.97211;0.972275;0.972495;0.97277;0.973035;0.97326;0.97349;0.97375
40;0.91518;0.92077;0.92635;0.93194;0.93752;0.94188;0.94438;0.94651;0.94875;0.951;0.95274;0.95372;0.95465;0.95554;0.9563;0.95701;0.95765;0.95835;0.95897;0.95959;0.96018;0.96049;0.96082;0.96123;0.96164;0.96202;0.96223;0.96237;0.96248;0.96258;0.96273;0.96292;0.96317;0.96339;0.96364;0.96397;0.9643;0.96458;0.96486;0.96517
45;0.893085;0.9002;0.90731;0.914425;0.92153;0.9263;0.92921;0.931855;0.934445;0.936935;0.939275;0.941;0.942465;0.94353;0.94444;0.945305;0.946045;0.94686;0.947575;0.948295;0.949025;0.949335;0.949665;0.95008;0.950505;0.9509;0.951355;0.95179;0.95218;0.95255;0.95297;0.95331;0.953595;0.95387;0.954145;0.95453;0.95493;0.955265;0.95559;0.95595
50;0.87099;0.87963;0.88827;0.89691;0.90554;0.91072;0.91404;0.9172;0.92014;0.92287;0.92581;0.92828;0.93028;0.93152;0.93258;0.9336;0.93444;0.93537;0.93618;0.937;0.93787;0.93818;0.93851;0.93893;0.93937;0.93978;0.94048;0.94121;0.94188;0.94252;0.94321;0.9437;0.94402;0.94435;0.94465;0.94509;0.94556;0.94595;0.94632;0.94673
55;0.851075;0.86025;0.86943;0.878605;0.887775;0.89393;0.897975;0.901665;0.905265;0.90875;0.912295;0.91502;0.917385;0.918975;0.92036;0.92171;0.922655;0.9237;0.92461;0.925525;0.926495;0.927045;0.92758;0.92821;0.928875;0.929505;0.930315;0.93114;0.93189;0.93261;0.93337;0.93399;0.93434;0.934725;0.935055;0.935545;0.93608;0.936525;0.936945;0.937405
